MEGA_NM,SCHOOL_NM,위도,경도,ADDRESS,LAW_DONG,LAW_DONG_CODE,ADMINI_GU,ADMINI_DONG,ADMINI_DISTRICT_CODE,SCHOOL_ID
서울특별시,서일대학,37.58645834,127.0979498,대한민국 서울특별시 중랑구 면목제3.8동 용마산로90길 28,면목동,1126010100,중랑구,면목제7동,11260570,50
서울특별시,성신여자대학교,37.59231748,127.02123,대한민국 서울특별시 성북구 동선동3가 249-1,동선동2가,1129011700,성북구,동선동,11290575,51
서울특별시,숙명여자대학교,37.54601076,126.9649129,대한민국 서울특별시 용산구 청파동2가 53-12,청파동2가,1117011000,용산구,청파동,11170555,52
서울특별시,숭의여자대학,37.55709869,126.9873508,대한민국 서울특별시 중구 소파로2길 10,예장동,1114014200,중구,명동,11140550,53
서울특별시,숭의여자대학,37.55709869,126.9873508,대한민국 서울특별시 중구 소파로2길 10,예장동,1114014200,중구,필동,11140570,53
서울특별시,열린사이버대학교,37.57581677,126.9856486,대한민국 서울특별시 종로구 삼일대로 461,경운동,1111013400,종로구,종로1.2.3.4가동,11110615,54
서울특별시,한국사이버대학교,37.57441066,126.9887469,대한민국 서울특별시 종로구 익선동 34,익선동,1111013300,종로구,종로1.2.3.4가동,11110615,55
서울특별시,한성대학교,37.58179302,127.010374,대한민국 서울특별시 성북구 삼선동 삼선교로16길 116,삼선동2가,1129011200,성북구,삼선동,11290555,56
서울특별시,한양사이버대학교,37.55848588,127.0424527,대한민국 서울특별시 성동구 행당동 17,행당동,1120010700,성동구,사근동,11200550,57
서울특별시,한양사이버대학교,37.55848588,127.0424527,대한민국 서울특별시 성동구 행당동 17,행당동,1120010700,성동구,행당제1동,11200560,57
서울특별시,한양사이버대학교,37.55848588,127.0424527,대한민국 서울특별시 성동구 행당동 17,행당동,1120010700,성동구,행당제2동,11200570,57
서울특별시,한영신학대학교,37.49655631,126.8511598,대한민국 서울특별시 구로구 경인로 290-42,개봉동,1153010700,구로구,개봉제1동,11530740,58
서울특별시,한영신학대학교,37.49655631,126.8511598,대한민국 서울특별시 구로구 경인로 290-42,개봉동,1153010700,구로구,개봉제2동,11530750,58
서울특별시,한영신학대학교,37.49655631,126.8511598,대한민국 서울특별시 구로구 경인로 290-42,개봉동,1153010700,구로구,개봉제3동,11530760,58
서울특별시,세종대학교,37.55075608,127.0742851,대한민국 서울특별시 광진구 군자로 114,군자동,1121510900,광진구,군자동,11215730,59
서울특별시,연세대학교,37.56492185,126.9403038,대한민국 서울특별시 서대문구 신촌동 연세로 50,신촌동,1141011400,서대문구,신촌동,11410585,60
서울특별시,인덕대학,37.63100397,127.0550403,대한민국 서울특별시 노원구 월계동 648,월계동,1135010200,노원구,월계1동,11350560,61
서울특별시,인덕대학,37.63100397,127.0550403,대한민국 서울특별시 노원구 월계동 648,월계동,1135010200,노원구,월계2동,11350570,61
서울특별시,인덕대학,37.63100397,127.0550403,대한민국 서울특별시 노원구 월계동 648,월계동,1135010200,노원구,월계3동,11350580,61
서울특별시,장로회신학대학교,37.55020568,127.1034224,대한민국 서울특별시 광진구 광장동 353,광장동,1121510400,광진구,광장동,11215810,62
서울특별시,한국방송통신대학교,37.57899596,127.0034822,대한민국 서울특별시 종로구 동숭동 199-1,동숭동,1111016800,종로구,이화동,11110640,63
서울특별시,홍익대학교,37.55072513,126.9257357,대한민국 서울특별시 마포구 상수동 72-1,상수동,1144011500,마포구,서강동,11440655,64
서울특별시,한국외국어대학교,37.59741206,127.0582845,대한민국 서울특별시 동대문구 이문로 107,이문동,1123011000,동대문구,이문제1동,11230740,65
서울특별시,한국외국어대학교,37.59741206,127.0582845,대한민국 서울특별시 동대문구 이문로 107,이문동,1123011000,동대문구,이문제2동,11230750,65
